Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
1cxMtsUyFbz3zDFuYA7CkT,Intro,"Carmona, Zekie",Plátanos de Sombra,2023-01-26,True,3,0.506,0.631,0.261,0.879,0.148,-6.833,0.0819,180.175,0.228,64708
2EV4pwh8u2pHUpJB14QLZK,Pies de Laberinto,"Carmona, Zekie",Plátanos de Sombra,2023-01-26,True,5,0.816,0.763,0.632,0.000151,0.099,-5.606,0.106,88.021,0.546,151367
2imqmtdz35hf8i7p4jQfE7,Sensaciones de Vacío,"Carmona, Zekie",Plátanos de Sombra,2023-01-26,True,28,0.0326,0.522,0.758,0.0,0.0898,-6.711,0.287,81.843,0.407,156872
2JoOoorERBVPbyvFbuT7Y5,Won't Forget You - Odd Mob Remix,"Jax Jones, D.O.D, Ina Wroldsen, Odd Mob",Won't Forget You (Odd Mob Remix),2023-11-24,False,48,0.00474,0.66,0.952,0.0271,0.291,-5.829,0.0592,140.056,0.695,210625
0QJNQcOx2RPNJvLjmCzHLd,Soma,Goom Gum,Soma,2023-12-01,False,26,0.014,0.682,0.81,0.756,0.165,-6.082,0.0329,120.011,0.308,239999
4OkFBMU18NidtaefaTjUq1,Real Spill,Lil Baby,It's Only Me,2022-10-14,True,68,0.0496,0.776,0.557,0.0,0.112,-7.441,0.545,156.978,0.284,198722
26Hgx0810XUis01XWvoftB,Stand On It,Lil Baby,It's Only Me,2022-10-14,True,64,0.0325,0.728,0.496,0.0,0.0916,-7.298,0.127,86.468,0.214,166889
0VOMBffX1llDu37yQUt3u3,Pop Out (feat. Nardo Wick),"Lil Baby, Nardo Wick",It's Only Me,2022-10-14,True,66,0.00248,0.474,0.576,0.000309,0.174,-6.963,0.257,157.947,0.285,195197
2W6pTELagAFoH2V0TF1xdM,Fly,Mimi,Mimi on travel,2010-06-30,False,0,0.903,0.248,0.14,0.669,0.103,-12.572,0.0322,72.535,0.0396,212888
4AcGivVmhyzOVXZRN2VuYK,Cherish,Mimi,Mimi on travel,2010-06-30,False,0,0.844,0.306,0.322,1.72e-05,0.339,-8.66,0.036,125.28,0.305,282182
