Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Intro,1cxMtsUyFbz3zDFuYA7CkT,0.631,0.261,-6.833,0.0819,0.506,0.879,0.148,0.228,180.175,64708
Pies de Laberinto,2EV4pwh8u2pHUpJB14QLZK,0.763,0.632,-5.606,0.106,0.816,0.000151,0.099,0.546,88.021,151367
Sensaciones de Vacío,2imqmtdz35hf8i7p4jQfE7,0.522,0.758,-6.711,0.287,0.0326,0.0,0.0898,0.407,81.843,156872
Won't Forget You - Odd Mob Remix,2JoOoorERBVPbyvFbuT7Y5,0.66,0.952,-5.829,0.0592,0.00474,0.0271,0.291,0.695,140.056,210625
Soma,0QJNQcOx2RPNJvLjmCzHLd,0.682,0.81,-6.082,0.0329,0.014,0.756,0.165,0.308,120.011,239999
Real Spill,4OkFBMU18NidtaefaTjUq1,0.776,0.557,-7.441,0.545,0.0496,0.0,0.112,0.284,156.978,198722
Stand On It,26Hgx0810XUis01XWvoftB,0.728,0.496,-7.298,0.127,0.0325,0.0,0.0916,0.214,86.468,166889
Pop Out (feat. Nardo Wick),0VOMBffX1llDu37yQUt3u3,0.474,0.576,-6.963,0.257,0.00248,0.000309,0.174,0.285,157.947,195197
Fly,2W6pTELagAFoH2V0TF1xdM,0.248,0.14,-12.572,0.0322,0.903,0.669,0.103,0.0396,72.535,212888
Cherish,4AcGivVmhyzOVXZRN2VuYK,0.306,0.322,-8.66,0.036,0.844,1.72e-05,0.339,0.305,125.28,282182
Fascination,6H7Y8IJSEN3SeoVn7mMHnp,0.519,0.313,-12.041,0.163,0.942,0.78,0.11,0.338,110.399,246583
Fuera de Mi,2GaXjLGGSqEQo9OyFFFHx7,0.435,0.753,-5.432,0.297,0.132,0.0,0.214,0.496,169.601,207036
Rolling Loud,2cqm9cr2qNrHyGTJPIdcXS,0.686,0.732,-4.985,0.0841,0.0169,0.0,0.168,0.56,155.038,155226
CNECC,2KEGpwRCWOR3tT1o67nDIt,0.749,0.806,-4.528,0.193,0.126,0.000185,0.0734,0.578,155.119,156063
Brand New Day,4a9kGbaW3klAdEHsx7Q3jQ,0.362,0.882,-4.259,0.143,0.0154,0.0,0.085,0.427,190.078,201147
Fire,7Hjr124CfhS8HYAHJitVO4,0.71,0.946,-4.431,0.078,0.123,0.0,0.203,0.681,120.089,182227
Can't Back Down,2E1V6nbjINpLpiMaWMSYZ4,0.636,0.839,-4.384,0.0961,0.0847,0.0,0.1,0.658,120.035,199907
Down (feat. Gucci Mane),0XQHz5C8PknyrEhyrKxVKa,0.53,0.512,-7.094,0.133,0.0162,7.04e-05,0.128,0.401,196.121,165200
He Like That,1zjcIIrm2fbVFmG3dsj03e,0.592,0.681,-5.597,0.141,0.362,0.0,0.142,0.491,147.016,217107
Sauced Up,0qnSB2EChfAdgMFGgesxhM,0.777,0.572,-4.663,0.0408,0.0568,0.0,0.114,0.326,100.0,197787
01 dE ENEro,78TdaRmo17p8J6BPvA8cGt,0.495,0.521,-9.72,0.0766,0.0317,0.0,0.288,0.238,111.426,114053
JEFES DEL SUDOESTE,7CLja1KXFDtegtO0NCewNm,0.722,0.54,-8.13,0.0725,0.0505,0.0,0.445,0.274,124.915,147579
RoCKSTAR 2.0,7vQUmIUpnnOmzmSKDGJAol,0.545,0.738,-7.715,0.0478,0.0522,0.0,0.283,0.3,84.961,173730
PROTO,2ovAjulxWyIAM6LnrPoEVU,0.661,0.822,-8.155,0.051,0.000838,0.662,0.119,0.128,133.998,432075
BOND,4HmelbaUFEnnLmpSWujbB4,0.704,0.858,-7.9,0.0454,0.000319,0.914,0.163,0.0766,125.996,379093
FUTURA,02LjotUSKMkReL05VobJRI,0.589,0.795,-8.533,0.0321,0.0745,0.811,0.142,0.0552,134.994,449406
"hoshii, wake up!",3eSOZnjzDHMgGQu9SsmSvM,0.412,0.571,-9.088,0.054,0.195,0.814,0.373,0.0398,90.002,231873
hawaii,5MZ90kqUrDS0zUgbszQf5G,0.663,0.79,-6.081,0.0302,0.00106,0.869,0.431,0.476,98.972,226000
dance of hopes and disappointments,2AcrrcVLECdE0sNx2tx1sB,0.625,0.783,-9.248,0.0381,0.00223,0.788,0.123,0.155,126.918,201375
No Pares,2R6bfevr6LdnReayEggKKT,0.749,0.634,-4.339,0.0647,0.0139,2.14e-05,0.149,0.651,89.997,156667
Diabla,0dwd3OiNzdFDU5QRyNuKOw,0.837,0.79,-3.818,0.187,0.12,0.000466,0.298,0.614,96.99,145361
Perrea,5J6MhWMuRQsZwo9MtLG31T,0.835,0.731,-5.245,0.0752,0.0529,1.16e-05,0.0955,0.818,95.011,136373
Mutant Disco,6NNx8nJJOsxxLVWPlh41S5,0.839,0.505,-8.495,0.0692,0.0345,0.835,0.0868,0.391,124.013,419898
Mutant DX,3pVTSP5nplKHLbOQi4QRsw,0.749,0.786,-10.114,0.0423,0.00136,0.842,0.114,0.702,128.009,340069
Mutant Romance,5jtJFKwosksmshRB7amu1g,0.741,0.708,-7.143,0.0465,0.00232,0.796,0.0653,0.601,126.019,404701
Speranza,6hIXNRNOFlnvyqk4XjADrm,0.525,0.923,-6.688,0.0587,0.0041,0.863,0.109,0.0373,123.975,311613
That's Hilarious,0wPKDeY4fZXT6k9bzV0kx0,0.713,0.442,-5.909,0.0604,0.739,0.0,0.112,0.546,108.038,144934
Charlie Be Quiet!,3E9es0SK2EusrHA7IaO7Zu,0.753,0.662,-4.25,0.0702,0.205,3.66e-06,0.0851,0.466,94.958,128364
Light Switch,5Q4lCfjJ1aht8YZOGFbC5U,0.689,0.627,-5.692,0.308,0.105,0.000321,0.0905,0.905,184.008,187704
Abismo,62qRT4tWMJrHJjnWyKPFQx,0.63,0.634,-7.276,0.252,0.782,0.0,0.0849,0.735,123.919,181346
Dicen Que Soy el Diablo,5xgHJoKv2ZAmOyt73ufzba,0.645,0.895,-5.437,0.178,0.69,0.114,0.0949,0.278,179.893,175917
Suicida,5jLnujbLiLX37n0BygYXre,0.78,0.74,-5.289,0.0893,0.272,0.00272,0.69,0.78,139.933,156000
NO SON TÚ,4jb6vGd9I1a2dltMYjsDYB,0.68,0.463,-8.871,0.11,0.431,1.42e-05,0.584,0.473,123.938,195484
NEBULOSA,0qoHPLriSSpcNTjQWiWVDq,0.883,0.566,-7.27,0.072,0.121,0.000128,0.11,0.347,127.961,183750
UNA ÚLTIMA VEZ,1GhGiRIGShDjySWEDUtk3A,0.616,0.719,-5.455,0.116,0.153,0.0,0.462,0.479,173.875,180690
Mini Skirt,4L5aysnpEXU7YtRU8HQ3GI,0.821,0.815,-3.894,0.0933,0.00152,0.8,0.283,0.875,127.983,151875
Nos Fuimos,1SrfJ6mbvp7BP7hD3DlnMZ,0.687,0.611,-4.318,0.109,0.0768,6.84e-06,0.0687,0.865,175.848,159545
Princesa,2DYyTfBW8yCSBJYhOJpzrZ,0.827,0.548,-5.282,0.0388,0.156,0.0,0.138,0.826,99.963,176400
Pal Carajo el Amor,56FLi2j4yUJavMb6ID7s3d,0.529,0.746,-5.742,0.394,0.174,0.0,0.0979,0.127,212.3,196415
Cupido,04ndZkbKGthTgYSv3xS7en,0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,174370
Te Pido,0rnZOspoTCAXfvAudOdRng,0.677,0.627,-4.097,0.0957,0.207,6.82e-06,0.102,0.7,187.933,174894
Muñecas,4yPmTUkWmUfLPQLCccp0DR,0.688,0.712,-4.791,0.0826,0.0288,0.0,0.313,0.852,89.93,156319
