Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
NO PIENSO LLAMAR,3tPPP39TSamzLPOJomKALp,0.679,0.556,-5.299,0.148,0.181,0.0,0.108,0.583,169.997,198353
Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853
Energía,6Z0LS8Qts9v9sR7N8yt7Ig,0.783,0.831,-3.465,0.0372,0.214,5.38e-05,0.263,0.655,93.997,221440
Starting Now,6N6Y1AdoGqw5H3lzli5DgL,0.555,0.851,-4.525,0.121,0.0314,2.59e-05,0.0902,0.314,125.086,204173
Gravity (feat. Laura Korinth) - Edit,30WnQsvwFeYEd9k08vV7Dl,0.783,0.616,-11.131,0.0691,0.00149,0.769,0.117,0.0734,125.023,216000
October,1kuU8IRPYIq64fn2evGtw0,0.448,0.337,-10.068,0.0363,0.93,0.952,0.0888,0.191,132.056,272091
Fire,7Hjr124CfhS8HYAHJitVO4,0.71,0.946,-4.431,0.078,0.123,0.0,0.203,0.681,120.089,182227
Suicida,5jLnujbLiLX37n0BygYXre,0.78,0.74,-5.289,0.0893,0.272,0.00272,0.69,0.78,139.933,156000
Gravity,1eV81a6H4xDdpi8r2C4tQT,0.783,0.616,-11.131,0.0691,0.00149,0.769,0.117,0.0734,125.023,216000
Els teus ulls,6cPe7rorhofISE335CqPmH,0.782,0.544,-9.196,0.114,0.303,0.000592,0.0698,0.619,95.141,151000
A_1000_Km.mp3,5RmzHQdbBSQ0NdCrqNBwAv,0.578,0.516,-4.881,0.0289,0.316,0.0,0.0909,0.29,103.953,200769
Echo,32fmwlkq7srmOAb5N0vdyj,0.702,0.878,-6.734,0.0394,0.242,0.695,0.0988,0.111,124.996,134400
Let Her Go,2nejEeai3PQKiS7q11v0mq,0.712,0.803,-7.206,0.0276,0.00537,9.81e-05,0.307,0.308,120.018,201005
Desfibrilador,7bV6pAIWPet9TOQenaAGMO,0.678,0.838,-5.798,0.167,0.516,0.0,0.253,0.806,149.821,196702
Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",39MK3d3fonIP8Mz9oHCTBB,0.611,0.483,-6.216,0.055,0.214,0.0,0.124,0.204,145.983,231747
Lugar Seguro,2VF8TTWczzupwrhtsQfx48,0.418,0.359,-11.45,0.0371,0.889,0.0,0.0634,0.396,86.721,182724
DISPO,4iGQ8o9Ih6J1OuDDGCXSCL,0.832,0.64,-3.085,0.0483,0.466,0.0,0.123,0.645,93.946,193961
GANAS,4WBJO0asHRwWh7yyFHzABq,0.828,0.627,-6.607,0.0518,0.526,0.00146,0.57,0.519,115.006,169652
Save Me,4b2rlKIqyLxpxoIaG7sZ5K,0.673,0.908,-6.36,0.0387,0.000485,0.781,0.113,0.045,126.013,189784
