id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3cWmqvMwVQKDigWLSZ3w9h,0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999,193575
0F13K9dwYH2zpTWiR8d628,0.693,0.434,4,-8.786,0,0.385,0.204,0.0,0.277,0.542,147.066,119738
2lLG56qpLP3UbcLuzMvkWX,0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,218943
0xTO5PsPfFuxiDSoOfADjC,0.741,0.575,11,-13.348,1,0.0431,0.904,0.946,0.0981,0.0554,103.009,236505
4N19azuZZs9MWmu9Aj9qXg,0.541,0.637,8,-8.894,1,0.0468,0.00128,0.0983,0.371,0.138,119.996,456047
2lpIEGYL4VgE1SfRx3xPXS,0.625,0.88,6,-7.872,0,0.0656,0.037,0.458,0.0869,0.535,121.006,337240
3VvgPMcqXX8jHahJP1yyNY,0.531,0.725,0,-8.345,1,0.661,0.285,0.0,0.13,0.388,118.851,226160
0OM6eOXINtkAe74QgDMBI0,0.819,0.396,1,-10.602,1,0.309,0.0712,0.0,0.0826,0.27,157.029,218640
6ZFbw2SBejWu9SxbQ7lBDV,0.845,0.526,9,-6.945,1,0.274,0.000313,0.0,0.12,0.149,155.052,113427
4y6UbERZs3PZ0qsPYqe0Cq,0.565,0.919,6,-3.709,0,0.0402,5.12e-05,0.00492,0.04,0.441,120.004,230806
30XUVaCG8ghAiE45SnXLhn,0.553,0.868,6,-4.186,0,0.048,7.35e-05,0.0359,0.0934,0.5,140.054,216571
66rEcw8rK6iCc0UesDdqxs,0.52,0.957,2,-3.901,1,0.0939,0.000598,5.09e-06,0.19,0.449,140.004,230185
0VG4FMrArql0RNey03HuGd,0.696,0.468,7,-13.319,1,0.471,0.00815,0.0,0.0901,0.531,86.217,206759
3C8NPtcpwC7CLi4daDf7Zm,0.638,0.695,1,-5.553,0,0.1,0.0939,0.0,0.165,0.696,113.848,253748
27j5VkzmDtCDmC4pGI8AWM,0.764,0.38,1,-13.645,1,0.269,0.0676,0.0,0.0917,0.498,131.978,145471
6u5eHAZyrSVpyNfY9Dsg2M,0.693,0.713,1,-4.562,0,0.135,0.256,0.0,0.381,0.381,89.031,210813
0ENonhzxdhnqwITagQKx9i,0.716,0.627,0,-6.246,1,0.215,0.183,0.0,0.338,0.724,166.057,213587
62xMN5kjLSsRbmg1AguNCu,0.742,0.69,5,-5.901,0,0.13,0.173,0.0,0.406,0.764,83.982,254440
38skrqyWTNSfUTDuHxYhex,0.815,0.881,7,-2.627,1,0.108,0.195,0.0,0.477,0.871,119.673,138347
2ADo2Ezud2RzYvmbExnCcn,0.624,0.944,7,-2.842,0,0.046,0.369,3.49e-05,0.313,0.932,101.982,156793
4Zf2NvvTBxPBSFHtgUAQqq,0.809,0.733,4,-5.659,0,0.312,0.0142,0.0,0.176,0.447,176.019,82145
3wzzNVUogmnMXPt89u3XPt,0.73,0.769,1,-5.806,1,0.316,0.057,0.0,0.144,0.48,98.416,148573
2Z6hhV4Y6YIPVK8koSJ8Hv,0.795,0.74,10,-5.331,0,0.285,0.0936,0.0,0.238,0.632,92.423,158639
2od4traIZlCZrB3f09Ta7u,0.761,0.765,1,-5.994,1,0.209,0.223,0.0,0.0876,0.404,101.039,167213
4GYktiEn51I4lc3k6PlN7p,0.719,0.719,8,-9.544,0,0.0723,0.0227,0.717,0.0431,0.211,140.033,3652446
1kifCdwKtdnlhAKR9FzBB1,0.8,0.673,6,-7.976,1,0.293,0.102,0.84,0.0956,0.224,140.004,205714
6YoAkbFiCNUdHOLywIs6Z7,0.702,0.704,3,-9.39,0,0.109,0.0598,0.694,0.103,0.262,139.997,301714
6YyNJqxsekWoAEuHFMXdrP,0.828,0.733,11,-6.417,1,0.0672,0.0532,1.88e-06,0.0897,0.384,155.053,143721
3rou339h08XGH1OQDhqCmb,0.673,0.696,10,-6.779,0,0.298,0.0389,0.000135,0.332,0.417,123.589,316500
5e33pTEIbb5JZTcIcmeWvS,0.601,0.564,8,-7.316,1,0.395,0.0979,0.0,0.109,0.558,177.557,133778
0rp6r6gmFcfGemc3OnVWUl,0.552,0.68,1,-6.387,1,0.376,0.102,0.0,0.314,0.343,91.963,224000
2WAufixPkOjvrBtAdQQTbr,0.613,0.6,10,-5.621,1,0.281,0.108,1.67e-06,0.274,0.067,130.732,270671
6ujdLuZXkyp4yKOZSE64nM,0.653,0.547,8,-6.324,1,0.171,0.00898,0.0,0.116,0.248,93.631,163509
0s2eTTKN5deHJttejOJDhg,0.585,0.437,4,-7.145,0,0.223,0.923,0.0,0.154,0.618,80.178,76832
1FQGzPX5ex4z51lu5r0N8B,0.165,0.299,6,-13.22,1,0.0329,0.276,0.931,0.0972,0.0377,56.204,86552
1GQ7bQs2li51f8h7ltunpH,0.809,0.711,2,-9.389,1,0.302,0.0261,0.529,0.109,0.43,170.01,165535
5f0XCn8KXNK75IMkO9Rlf8,0.746,0.765,8,-7.965,1,0.21,0.0768,0.00666,0.417,0.418,170.047,156491
5MQLvznTLDzKHSA3PLkut7,0.505,0.842,8,-4.768,0,0.376,0.00647,0.0,0.16,0.433,85.874,224147
2Rn9QN7tzH1t3HvW3ylVUF,0.805,0.913,11,-3.439,0,0.367,0.29,0.0,0.281,0.711,150.025,297852
0TBuySbBzGo4Jgc410MvJp,0.456,0.929,2,-4.576,1,0.453,0.0415,0.0,0.121,0.393,168.114,236373
1zSnOzREFGGxctETl5xMDM,0.602,0.259,2,-10.995,0,0.0249,0.61,0.000179,0.101,0.383,96.408,306191
42lAqm0tcL61Od5X6Ah18J,0.539,0.363,9,-8.199,1,0.0312,0.81,0.0,0.289,0.791,125.388,151341
0OiXbUJ3nqLpPhZ3kdBAfA,0.399,0.274,4,-10.311,1,0.0334,0.718,0.00918,0.0988,0.243,100.234,187126
4qXkeXIGoeurOIr55CgyUu,0.896,0.488,1,-13.03,0,0.0727,0.0368,0.558,0.254,0.0312,122.986,190354
3JTQsfGvxPP1Xwqsl43iyG,0.631,0.447,6,-15.4,0,0.129,0.222,0.928,0.107,0.527,130.009,221543
2BtzjeVFADcNQNqbWoTqVH,0.57,0.527,1,-13.884,1,0.0767,0.000871,0.784,0.11,0.0455,126.9,282389
34gjUTfwfFLaPP35XMQUgg,0.547,0.739,6,-5.858,1,0.0453,0.00174,0.0023,0.131,0.278,115.929,205080
1QfJj4qobvzrxuccs88IRB,0.226,0.901,5,-3.795,1,0.106,0.0135,1.2e-06,0.336,0.447,171.765,213520
55Y2pJGOwe61KRZkgd29zJ,0.467,0.841,5,-5.906,1,0.0672,0.000354,0.00169,0.145,0.616,160.033,240387
44qgj5FoNRHgfTUn6Sm4Ls,0.652,0.765,6,-9.174,0,0.047,0.0531,0.239,0.248,0.615,148.986,198133
7h3mCPlHYCPuSG93s7M3Xt,0.603,0.358,6,-9.972,0,0.0284,0.808,0.0,0.0801,0.427,95.833,134948
1uFAI2C6r3YBQmXCAPGzZv,0.747,0.669,1,-5.781,1,0.0409,0.478,0.0,0.0792,0.34,130.028,149538
3pQr8EhSzvKN3ZZlaL4Pae,0.765,0.628,0,-6.385,1,0.0505,0.463,0.0,0.0798,0.686,91.95,185326
2shSGbDRvWNyR88jE44KM0,0.707,0.389,6,-16.981,0,0.0382,0.444,0.486,0.11,0.251,129.017,109000
1N94vFYPRIDOpMT3M1bg5k,0.583,0.367,1,-13.72,0,0.0711,0.77,0.823,0.133,0.0572,161.943,132593
2TQ08eAvkgWu4PQ80eRf7m,0.624,0.441,6,-13.349,0,0.0328,0.761,0.246,0.126,0.172,147.943,96486
18MC2XdOQYheFq5HAyK7rJ,0.284,0.617,7,-6.865,0,0.0813,0.0183,0.0,0.112,0.166,153.002,274680
19EnyPZhNPbRoCxAuv5pKD,0.654,0.587,10,-6.331,1,0.0439,0.026,0.0,0.589,0.288,100.014,281360
5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,259333
3Tlkud5UiGv7FCc3RcYbhG,0.755,0.472,11,-9.286,1,0.342,0.0481,0.0,0.198,0.463,150.078,150600
0dTCvZga5dOD59rVW6rtof,0.686,0.448,5,-8.396,1,0.0396,0.0515,0.0229,0.113,0.312,125.002,262973
4wO7V8MuYSJ3BnSdj1CCiy,0.734,0.461,7,-8.019,0,0.233,0.101,8.21e-06,0.105,0.36,145.031,186400
6wZTehrzOwHJWoHQWJhl1n,0.678,0.509,4,-11.536,0,0.0582,0.523,0.0554,0.141,0.358,136.07,152333
1l32mo5oW5oIRRjNnVJBNR,0.684,0.564,0,-8.45,0,0.0432,0.363,0.332,0.118,0.52,96.357,220587
01bfHCsUTwydXCHP1VoLlI,0.784,0.682,1,-8.614,1,0.0962,0.185,6.25e-06,0.106,0.967,112.512,191027
2hPNuVVSV1tqiD2uPlfehz,0.529,0.598,8,-7.951,1,0.187,0.0968,0.171,0.189,0.691,92.01,321853
5pI2sPNVGcvR3n4vHzhuNF,0.386,0.2,0,-20.666,0,0.0468,0.388,0.0747,0.41,0.0799,87.854,71111
1pclizTN2rAs7MsCbWQ49e,0.734,0.452,2,-11.9,1,0.0805,0.606,0.0134,0.0939,0.207,134.899,172000
3iTYNXjrgPE3edTwOnx6KM,0.911,0.462,4,-8.298,0,0.0787,0.0281,0.00157,0.106,0.568,114.982,162783
3qPLOJ6ij8dcO94ntWUzan,0.822,0.494,11,-8.212,0,0.0822,0.153,0.0,0.114,0.537,122.022,212937
7fI7sjuVLkLVPO9oYjdgxg,0.517,0.59,1,-7.904,0,0.122,0.278,0.0,0.304,0.269,123.928,187742
1l13Q1jtQzKiMtn5cBoyIa,0.643,0.951,5,-5.098,1,0.0279,0.00106,9.88e-06,0.0788,0.701,140.078,199760
2Acvn67jFlfvb0bi9ETUMm,0.748,0.555,11,-6.823,1,0.369,0.378,0.0,0.158,0.194,99.593,169000
4LWs9AcaqoFQsWKeEa1Z80,0.785,0.647,0,-7.455,1,0.0557,0.362,0.0,0.0963,0.595,100.042,154800
3qbEYueRzTeCAwxp7aFiWR,0.541,0.509,8,-10.661,1,0.0779,0.429,1.09e-06,0.11,0.58,78.809,173806
6fNRBOVt73FkWW9zMYtvh4,0.078,0.21,4,-19.814,1,0.0437,0.956,0.399,0.306,0.432,80.362,20053
10qORBVaKgjIwvPknOdWQ5,0.538,0.625,11,-6.07,0,0.0457,0.24,0.000153,0.119,0.206,96.8,278493
4EC7nw1iltEdsfZ44vLvhM,0.807,0.514,7,-8.594,1,0.0749,0.211,0.0,0.0934,0.37,116.0,262013
1m7vcCLcWDuo9JBb5gMN3u,0.541,0.628,0,-11.177,1,0.0412,0.035,0.591,0.0886,0.0396,115.974,158849
23leKPcNMfdUbQ8tL4uVJk,0.779,0.41,2,-7.312,1,0.0323,0.0136,0.345,0.173,0.307,116.987,264901
0Jgt2gqs0SRldv9VOoQupf,0.624,0.803,0,-6.659,1,0.0338,0.00129,0.778,0.126,0.539,117.02,258476
4qSeVRw2SPqZnHWsLXfHJE,0.657,0.6,2,-9.64,1,0.049,0.137,0.944,0.109,0.0315,117.976,215895
5i3Rv4Y9kWVBX00zaZbuSE,0.756,0.527,8,-11.861,1,0.0428,0.00201,0.509,0.112,0.248,119.996,416500
7lavgUt5Y3HxSKxt93vinb,0.737,0.585,10,-10.198,0,0.0435,0.00994,0.00532,0.0787,0.877,122.009,209001
1YWE7cMqo4iVNdPTpH4Khj,0.711,0.686,5,-6.409,0,0.271,0.0355,0.0,0.124,0.536,146.971,173187
7IDJ19VgYwZSzDH5Ku5FT9,0.911,0.573,2,-5.573,1,0.163,0.0112,5.83e-05,0.131,0.145,144.026,271840
4Ew8VKrbgrjCt9r2AuItFm,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395,207213
0yMgLZquCYQjDBwjKnRQJ9,0.637,0.608,8,-9.875,0,0.344,0.224,2.1e-06,0.11,0.583,168.026,160032
790fgRFM6Bh5CpDQpRYvGX,0.65,0.475,2,-11.977,1,0.382,0.316,8.74e-06,0.113,0.724,78.821,182000
6gBVld0TEIIRQdpRWhtCJF,0.65,0.669,1,-8.216,1,0.392,0.219,2.34e-05,0.1,0.736,79.115,182280
1H4BiYE8G4XuaKpVxvtJ4n,0.417,0.809,0,-4.061,1,0.0466,0.000212,0.0,0.0966,0.654,179.998,155562
6MzsfRoYing0YOe9LhBVen,0.31,0.834,0,-4.245,1,0.0572,0.0011,0.0,0.0729,0.459,132.974,194959
2HVTOpuW5zmutgWItqrWSI,0.577,0.946,2,-2.48,1,0.0437,0.0152,0.0,0.183,0.482,106.038,192659
0NT549rDgSRLdehnotM9Wz,0.266,0.348,10,-21.803,0,0.0538,0.21,0.043,0.143,0.217,140.324,38651
6gbhXCgHidtjsBN1S5qycH,0.585,0.439,1,-6.822,1,0.0301,0.816,0.0,0.0635,0.514,132.729,124186
