,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Si No Estás,2HafqoJbgXdtjwCOvNEF14,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061
QLONA,5RqSsdzTNPX1uzkmlHCFvK,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,172798
greedy,3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872
Intro (Venezuela),291cT7iO5eaC3dOHijXpNq,0.791,0.895,6,-4.801,0,0.0479,0.362,0.0,0.0916,0.617,106.535,126827
Fire On Fire,7t3Xdbufg7q2onVsR8RBdY,0.584,0.408,1,-7.356,0,0.0461,0.476,0.0,0.18,0.333,115.129,246735
MI EX TENÍA RAZÓN,54zcJnb3tp9c5OVKREZ1Is,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,154375
Sin Tiempo Para Bailar,0VqPLtmPr3UdQlQyCoGDgz,0.623,0.672,1,-6.353,0,0.0382,0.415,0.0,0.157,0.213,125.178,205166
Tamagotchi,5bfep56ypsHGIR4i5KPKJN,0.87,0.664,1,-8.716,1,0.0744,0.233,0.000705,0.141,0.84,98.013,151000
LALA,7ABLbnD53cQK00mhcaOUVG,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,197920
In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,216410
georgia,0oWyUnmjpaFWzZNfnQmrGc,0.327,0.376,8,-10.54,1,0.0384,0.861,1.11e-05,0.345,0.285,80.114,210187
Running Away,1CNAp96nVFtzG0L48rDGnZ,0.513,0.737,0,-5.023,0,0.0393,0.0792,7.82e-05,0.108,0.115,138.032,248232
Read your Mind,2Irr5XfPM6cyoKijHSCrqM,0.659,0.803,1,-5.043,1,0.0446,0.0102,0.0,0.0746,0.62,120.08,207850
Loving Means Leaving,2ySKEa16GDpwon90g1cILI,0.489,0.405,8,-7.711,1,0.0407,0.71,0.0,0.104,0.462,108.095,183828
Peligrosa,3AsbVi6XAEGXoKOTfhzevi,0.816,0.721,8,-4.657,1,0.0579,0.361,0.000124,0.124,0.542,95.029,165808
Magnum,5fDMDKHhVCpUmAvTPJrYNh,0.771,0.804,9,-4.175,1,0.11,0.194,3.58e-06,0.0781,0.625,93.824,182467
Plan fatal,6yl12bWML644ZijpPjso5p,0.66,0.76,1,-2.871,1,0.0339,0.0107,4.6e-05,0.158,0.824,127.492,221197
WANDA,0Iozrbed8spxoBnmtBMshO,0.724,0.631,4,-4.42,0,0.0686,0.249,0.0,0.213,0.957,176.076,160909
Hey Mor,1zsPaEkglFvxjAhrM8yhpr,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600
AMARGURA,505v13epFXodT9fVAJ6h8k,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,170480
