,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0hh6usshPzFf6j0lGkhMs3,0.71,0.614,5,-17.7,1,0.961,0.987,0.949,0.242,0.342,60.896,16293
1,1LfczmVqfIKzd8nvXuciNx,0.592,0.837,8,-4.341,1,0.17,0.00633,0.0,0.12,0.287,121.897,234187
2,0IyG7WLQATXdS5o5Tk3ZXO,0.382,0.301,5,-6.972,1,0.0319,0.863,0.0,0.13,0.385,134.074,151000
3,0HeWjqONpLAHig0hf1dIgL,0.69,0.58,0,-4.395,1,0.199,0.0328,0.0,0.328,0.708,197.635,177627
4,6toBEs42KExYtyPzlEf4eu,0.547,0.724,2,-4.299,0,0.201,0.0861,0.0,0.354,0.389,86.949,185640
5,18I7HIzT4GwEzp9jJ8KoFe,0.721,0.772,10,-4.506,0,0.19,0.598,0.000204,0.19,0.483,76.928,144956
6,2n7ZgAFCI2F9MtKBq60Ss4,0.661,0.832,1,-5.386,0,0.0979,0.314,8.83e-06,0.319,0.416,96.143,169920
7,1B7qwIcI3gbPS5Mm4CBLjD,0.871,0.845,1,-2.931,1,0.086,0.163,2.94e-06,0.0558,0.681,122.903,155454
8,1CNAp96nVFtzG0L48rDGnZ,0.513,0.737,0,-5.023,0,0.0393,0.0792,7.82e-05,0.108,0.115,138.032,248232
9,5ONDwiSzjziWVwmxRZCen6,0.573,0.551,0,-7.535,1,0.0335,0.0502,0.0,0.124,0.19,129.932,235698
10,5XJWvtPzYIST3qfMiiFsQZ,0.728,0.711,8,-6.498,1,0.242,0.161,3.05e-06,0.137,0.422,101.198,130571
11,11AwO3WYjBnabDK9qiA30B,0.56,0.618,5,-5.175,0,0.232,0.0925,0.0,0.367,0.727,101.119,91960
12,7sm0mCPk9si3MQ8706IrOT,0.426,0.499,11,-8.306,1,0.0599,0.0738,0.0,0.407,0.296,179.83,228890
13,5KA3dYKykvZW5KBEpSTmOL,0.767,0.62,9,-5.406,0,0.0424,0.0893,0.000122,0.267,0.585,124.972,163893
14,4AanOfVKkQKYRe4nbcaVaG,0.833,0.817,11,-4.147,0,0.047,0.248,0.00097,0.0714,0.363,94.974,162013
15,7MBdtBJvyn90mXqTOqI8PA,0.507,0.182,7,-11.166,1,0.0353,0.944,0.00138,0.444,0.394,76.007,62423
16,6iKFebFmd3r98aV2QOS9RG,0.533,0.596,2,-6.185,1,0.0474,0.336,0.0,0.126,0.313,125.937,145000
17,20uXZyneJq8QjX8dPVI4ut,0.858,0.751,7,-5.254,1,0.218,0.0257,0.0439,0.0907,0.169,92.045,102680
18,6nLBl3hzByuZnTC8hUZ46x,0.7,0.3,2,-9.813,1,0.0359,0.672,5.87e-06,0.0706,0.213,125.053,212307
19,37DLwjAM682PZr9a4dJ5VA,0.605,0.647,5,-7.037,1,0.0451,0.429,0.0,0.103,0.0834,91.928,221241
20,09Ax76xrXhUm13zCwkuxiv,0.788,0.536,11,-4.765,1,0.206,0.831,0.0,0.181,0.342,113.013,135704
21,7m12pGA8jpRVQDH7pURUs2,0.654,0.488,9,-6.668,1,0.366,0.0214,1.1e-05,0.133,0.495,147.956,145498
22,7GJVqqE79WOl8ncT7Y4z0L,0.76,0.71,9,-4.984,0,0.0428,0.205,0.0,0.349,0.707,111.957,184196
23,7x8efoIjgyyQGogsHltYFf,0.47,0.327,9,-7.26,0,0.0402,0.897,0.0,0.115,0.296,62.915,222495
24,6eI8B3QW20P68MCYMb4Etd,0.665,0.719,1,-6.897,1,0.0328,0.384,0.0,0.118,0.491,112.473,162224
25,5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813
26,3TPTC8joOVNXHHNFIWPGBC,0.514,0.366,5,-10.796,1,0.316,0.752,0.0194,0.238,0.708,77.16,60857
27,4jqe78JthIpsat99g0D3pk,0.513,0.366,2,-16.961,1,0.0935,0.842,0.0,0.605,0.645,120.538,25387
28,3bDRMfygdJbTDbsdmzc1PP,0.527,0.562,9,-6.623,0,0.0331,0.153,0.0,0.232,0.188,119.861,121053
29,2Xkxoluz9GQnQYAjxXImGG,0.588,0.804,8,-4.443,1,0.0623,0.0341,0.0,0.0845,0.377,145.021,215334
30,2QM5gBm9Q8VZ7UamMIMLb1,0.795,0.553,4,-8.496,0,0.244,0.527,2.84e-06,0.112,0.739,124.109,192288
31,2QWV6LlwgXF0ZIcg4VxkUh,0.871,0.739,1,-4.891,1,0.135,0.00984,1.03e-06,0.183,0.928,127.029,130098
32,3xQTo7wPYHZtFbHAoygz2c,0.717,0.0503,4,-15.204,1,0.606,0.00505,1.41e-06,0.097,0.166,109.916,52062
