id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
04v1IMQMdemyNhfH5G2uyp,0.759,0.339,10,-7.314,0,0.0274,0.94,0.0036,0.11,0.47,98.047,171851
6r0TaoZh1Oc1KkuL4rC1kB,0.81,0.657,1,-2.978,1,0.155,0.48,0.0,0.108,0.698,89.972,143936
0fx9L2QDi387TQQOVnm91O,0.752,0.904,8,-2.846,1,0.0698,0.0206,0.0,0.0723,0.527,98.034,183787
5BHMS8LBI2TYTdObzteZj0,0.805,0.694,4,-6.634,0,0.048,0.261,0.000638,0.218,0.732,95.058,199587
1QBoyx9EOFbnFQJGCyEzwz,0.536,0.423,6,-9.158,1,0.0314,0.695,0.000185,0.117,0.228,134.027,183000
3yh46UlxlTAFpTSaQI3XDm,0.413,0.405,7,-7.319,1,0.0311,0.505,0.0,0.11,0.216,178.158,185280
2t4SJrRZrGOEQlNDabywTw,0.707,0.875,8,-3.746,1,0.0606,0.103,0.0,0.144,0.904,94.988,138520
0DNzQupfod8PPlGDc73kvK,0.618,0.83,6,-5.838,0,0.0693,0.0108,0.0,0.169,0.684,175.922,147514
0mXjm33kyUTMkgJNOKvGOO,0.614,0.689,9,-4.919,1,0.052,0.0546,0.0,0.0815,0.535,146.461,165675
4zzP8gZCqTlbt1gzDeQMXd,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,141972
4r4yF6BGAm4oy4MnOYjSjI,0.536,0.367,1,-9.435,1,0.0296,0.699,0.000159,0.131,0.0492,118.004,174187
40dfo65kBJa1UgzkD652Gl,0.574,0.408,0,-9.733,1,0.0359,0.799,0.00295,0.15,0.134,126.127,179173
6toBEs42KExYtyPzlEf4eu,0.547,0.724,2,-4.299,0,0.201,0.0861,0.0,0.354,0.389,86.949,185640
0XjX9s0XWOKZc8PLuW02wJ,0.783,0.868,7,-2.961,0,0.0591,0.19,0.0,0.165,0.727,109.977,166735
0Ckmi4rrdUWnlg4T9aIGCS,0.382,0.523,9,-8.812,1,0.0618,0.0176,0.0,0.149,0.311,115.398,179913
6Jt18cyNzFXYYUUBllm7rZ,0.399,0.93,8,-3.259,1,0.264,0.000742,0.0,0.386,0.453,174.108,239011
1AozLLbKi1kIKMUbY3Xk7o,0.528,0.812,10,-3.811,0,0.0981,0.00177,1.82e-05,0.187,0.341,130.015,205675
5KA3dYKykvZW5KBEpSTmOL,0.767,0.62,9,-5.406,0,0.0424,0.0893,0.000122,0.267,0.585,124.972,163893
6PSyxMi8vTq5m25Yh6Oc6J,0.795,0.854,0,-5.462,1,0.0444,0.162,1.21e-06,0.0923,0.549,105.992,174801
3AsbVi6XAEGXoKOTfhzevi,0.816,0.721,8,-4.657,1,0.0579,0.361,0.000124,0.124,0.542,95.029,165808
3HrfjIm4usDUk3r4IpvLeX,0.833,0.798,0,-4.083,1,0.0474,0.19,0.001,0.305,0.74,97.989,151466
5Odeka5MkBqFeABthrtagH,0.712,0.731,6,-6.313,0,0.0402,0.228,0.0,0.372,0.638,92.014,190800
6hWwvq0NVF8yedQrHAuEYr,0.649,0.628,0,-7.461,0,0.0656,0.0749,0.0,0.106,0.352,75.033,196320
4lbN59oAXTZuKkq16ACHbE,0.761,0.78,7,-3.861,1,0.261,0.384,1.05e-05,0.103,0.43,140.032,135522
6v3oRcV32Jj1zzFjBRspfq,0.587,0.604,2,-4.138,1,0.345,0.262,9.67e-05,0.0814,0.439,169.864,147371
5WYzgXAzOP814ninL9deX2,0.695,0.64,3,-6.49,0,0.0331,0.00365,0.0,0.105,0.673,121.944,158584
4R93vEvbVvzWjq9C6ZNHUR,0.499,0.648,1,-4.916,1,0.0335,0.0258,0.0,0.159,0.464,144.749,223100
6iU3wBJNNSHbtac32TATEh,0.55,0.622,0,-6.74,1,0.0399,0.0506,0.0,0.0861,0.284,111.591,198884
1CcCntDuVJpjqkJhYGhuMw,0.769,0.724,11,-5.12,1,0.0864,0.548,0.0,0.161,0.464,110.659,190528
0A6rhK1bckxbfdOm1Omjq2,0.838,0.551,8,-2.597,1,0.107,0.0838,7.11e-06,0.0863,0.46,81.991,166829
2YZDh5CecWx0qlFiTvqVQ9,0.677,0.813,6,-4.01,0,0.187,0.219,0.0,0.18,0.573,169.844,194989
4bswq6hRPqJ56vIpCFBbRZ,0.644,0.437,0,-8.123,1,0.0356,0.572,0.0,0.202,0.667,145.245,180414
2GBfmqKw2YWLu5wh9Ok321,0.551,0.856,7,-3.867,1,0.0753,0.00256,0.0,0.139,0.523,180.054,203748
2Xkxoluz9GQnQYAjxXImGG,0.588,0.804,8,-4.443,1,0.0623,0.0341,0.0,0.0845,0.377,145.021,215334
6ys2DESjeA2Q22ntjHscok,0.541,0.697,9,-4.587,1,0.0298,0.0498,0.0,0.146,0.357,77.503,175601
0VJDKFCfJJyA8CgMd2Cygj,0.492,0.359,2,-8.538,1,0.0364,0.744,0.0,0.379,0.283,167.279,197500
7x8efoIjgyyQGogsHltYFf,0.47,0.327,9,-7.26,0,0.0402,0.897,0.0,0.115,0.296,62.915,222495
1tkqPebWBh7xUbZmnI3W1e,0.589,0.596,2,-5.042,1,0.056,0.484,0.0,0.21,0.55,123.277,194246
2ySKEa16GDpwon90g1cILI,0.489,0.405,8,-7.711,1,0.0407,0.71,0.0,0.104,0.462,108.095,183828
1VzDLAsYAlzFIel5KvFCa2,0.688,0.258,1,-10.123,0,0.0362,0.727,0.0,0.101,0.346,104.94,187071
4RawnebW4KRrhLNiDQOmGb,0.858,0.811,8,-3.866,0,0.11,0.105,0.00106,0.254,0.742,96.002,193440
1nfE2EYcayqAN8llXWu1ma,0.72,0.694,9,-4.258,1,0.129,0.0722,0.002,0.0893,0.501,179.953,207440
2xBuDFGbFc3NbUzCI8W4RW,0.734,0.73,3,-3.926,0,0.371,0.484,4.82e-05,0.116,0.537,195.894,191813
24JgCDBVduwcrgtQUKpcLC,0.736,0.709,10,-4.336,0,0.396,0.511,1.09e-05,0.0861,0.628,192.069,184733
5Hi5TfyH45YusqxLO7NYIJ,0.473,0.698,4,-13.64,0,0.245,0.475,0.0,0.668,0.817,88.307,72327
3gY9vSUmZUPr3BtQRsPMPo,0.492,0.67,10,-8.256,0,0.261,0.495,0.0,0.106,0.261,171.75,188721
0V0jxLGonu3pJV6hOl8CSK,0.658,0.632,8,-8.492,1,0.0298,0.748,7.33e-05,0.169,0.464,135.924,194277
